,state,positive,positiveScore,negativeScore,negativeRegularScore,commercialScore,grade,score,notes,dataQualityGrade,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,lastUpdateEt,checkTimeEt,death,hospitalized,total,totalTestResults,posNeg,fips,dateModified,dateChecked,hash
0,AK,341,1.0,1.0,1.0,1.0,A,4.0,"Please stop using the ""total"" field. Use ""totalTestResults"" instead. As of 4/24/20, ""grade"" is deprecated. Please use ""dataQualityGrade"" instead.",B,15836,,14.0,,,,,,217.0,4/26 14:15,4/26 15:55,9,,16177,16177,16177,2,2020-04-26T18:15:00Z,2020-04-26T19:55:00Z,92a3ca0e1d34bbc59c7fb9ece7bf7168ef148117
1,AL,6270,1.0,1.0,0.0,1.0,B,3.0,"Please stop using the ""total"" field. Use ""totalTestResults"" instead. As of 4/24/20, ""grade"" is deprecated. Please use ""dataQualityGrade"" instead.",B,67281,,,845.0,,288.0,,170.0,,4/26 00:00,4/26 16:31,216,845.0,73551,73551,73551,1,2020-04-26T04:00:00Z,2020-04-26T20:31:00Z,08cbccff1086811889f45c9b3ff358ebb03544e2
2,AR,2941,1.0,1.0,1.0,1.0,A,4.0,"Please stop using the ""total"" field. Use ""totalTestResults"" instead. As of 4/24/20, ""grade"" is deprecated. Please use ""dataQualityGrade"" instead.",B,36528,,104.0,291.0,,,25.0,57.0,985.0,4/26 10:00,4/26 16:02,49,291.0,39469,39469,39469,5,2020-04-26T14:00:00Z,2020-04-26T20:02:00Z,72342316ae08819034c3dad1efd288c5552c2005
3,AZ,6526,1.0,1.0,0.0,1.0,B,3.0,"Please stop using the ""total"" field. Use ""totalTestResults"" instead. As of 4/24/20, ""grade"" is deprecated. Please use ""dataQualityGrade"" instead.",A+,58285,,671.0,1037.0,308.0,,200.0,,1383.0,4/26 00:00,4/26 14:33,275,1037.0,64811,64811,64811,4,2020-04-26T04:00:00Z,2020-04-26T18:33:00Z,f69ed9d7704f072f2db3c8a60b6e0a15af7b6683
4,CA,42164,1.0,1.0,0.0,1.0,B,3.0,"Please stop using the ""total"" field. Use ""totalTestResults"" instead. As of 4/24/20, ""grade"" is deprecated. Please use ""dataQualityGrade"" instead.",B,483920,,4928.0,,1473.0,,,,,4/25 00:00,4/26 16:49,1710,,526084,526084,526084,6,2020-04-25T04:00:00Z,2020-04-26T20:49:00Z,efec73b30a80ef39ee32eebd601fb6b45bef2149
5,CO,12968,1.0,1.0,1.0,1.0,A,4.0,"Please stop using the ""total"" field. Use ""totalTestResults"" instead. As of 4/24/20, ""grade"" is deprecated. Please use ""dataQualityGrade"" instead.",B,46823,,1046.0,2410.0,,,,,2150.0,4/25 00:00,4/26 16:20,672,2410.0,59791,59791,59791,8,2020-04-25T04:00:00Z,2020-04-26T20:20:00Z,3a1469593964b883ebe33d86d2054dc2425d38ff
6,CT,25269,1.0,1.0,1.0,1.0,A,4.0,"Please stop using the ""total"" field. Use ""totalTestResults"" instead. As of 4/24/20, ""grade"" is deprecated. Please use ""dataQualityGrade"" instead.",C,54542,,1766.0,,,,,,,4/26 16:00,4/26 16:52,1924,,79811,79811,79811,9,2020-04-26T20:00:00Z,2020-04-26T20:52:00Z,f131a5569c9f4d0a69ad894d2e26d69162754ccd
7,DC,3841,1.0,1.0,1.0,1.0,A,4.0,"Please stop using the ""total"" field. Use ""totalTestResults"" instead. As of 4/24/20, ""grade"" is deprecated. Please use ""dataQualityGrade"" instead.",A+,14227,,402.0,,120.0,,69.0,,657.0,4/25 00:00,4/26 15:04,178,,18068,18068,18068,11,2020-04-25T04:00:00Z,2020-04-26T19:04:00Z,0951d8ae439aebe1e91ba6e418b088979c8bd482
8,DE,4034,1.0,1.0,1.0,1.0,A,4.0,"Please stop using the ""total"" field. Use ""totalTestResults"" instead. As of 4/24/20, ""grade"" is deprecated. Please use ""dataQualityGrade"" instead.",B,15215,,317.0,,,,,,911.0,4/25 18:00,4/26 16:23,120,,19249,19249,19249,10,2020-04-25T22:00:00Z,2020-04-26T20:23:00Z,80b213b615afae931c4136145259280c62cb20a5
9,FL,31528,1.0,1.0,1.0,1.0,A,4.0,"Please stop using the ""total"" field. Use ""totalTestResults"" instead. As of 4/24/20, ""grade"" is deprecated. Please use ""dataQualityGrade"" instead.",C,313085,1183.0,,5155.0,,,,,,4/26 09:32,4/26 16:33,1094,5155.0,345796,344613,344613,12,2020-04-26T13:32:00Z,2020-04-26T20:33:00Z,d04086b0acf64cda8e43815754a4a1c1f196d79e
