,date,states,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,hash,dateChecked,death,hospitalized,total,totalTestResults,posNeg,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease
0,20200409,56,457963,1902549.0,17631.0,46026.0,48344.0,12063.0,924.0,5794.0,39.0,21162.0,da9c709a6fb023a27aa6ad22e04dbbb5949e1df5,2020-04-09T20:00:00Z,16399,48344.0,2378143,2360512,2360512,1904.0,1190.0,128443.0,34326.0,162769.0
1,20200408,56,423637,1774106.0,17228.0,40456.0,47154.0,9746.0,1013.0,4131.0,216.0,19322.0,e9e8187baf72ce8c02e5618011c3180437715058,2020-04-08T20:00:00Z,14495,47154.0,2214971,2197743,2197743,1867.0,1654.0,109403.0,30280.0,139683.0
2,20200407,56,393357,1664703.0,16557.0,39036.0,45500.0,9685.0,889.0,4076.0,151.0,18421.0,75d95d89515a1e4112cf405c5ba0cb163b1f39f3,2020-04-07T20:00:00Z,12628,45500.0,2074617,2058060,2058060,1923.0,2302.0,116564.0,31186.0,147750.0
3,20200406,56,362171,1548139.0,17292.0,31572.0,43198.0,6752.0,814.0,2961.0,147.0,16528.0,ed1a845f665550c3c5d5115e90dbd9033d7bd908,2020-04-06T20:00:00Z,10705,43198.0,1927602,1910310,1910310,1163.0,2975.0,117707.0,28951.0,146658.0
4,20200405,56,333220,1430432.0,17307.0,27909.0,40223.0,5499.0,760.0,652.0,147.0,14486.0,0d0b81b0cb12fff3a96a0f00144e8cfbe721f739,2020-04-05T20:00:00Z,9542,40223.0,1780959,1763652,1763652,1168.0,2556.0,111840.0,26293.0,138133.0
5,20200404,56,306927,1318592.0,15573.0,26374.0,37667.0,5209.0,554.0,656.0,147.0,12784.0,c2955130ea54b3f4d413ecbf0e4cbeea0d56c26f,2020-04-04T20:00:00Z,8374,37667.0,1641092,1625519,1625519,1353.0,3912.0,191997.0,33893.0,225890.0
6,20200403,56,273034,1126595.0,61980.0,23825.0,33755.0,4811.0,486.0,605.0,147.0,10805.0,5169699e45e18d93319b9a6604e19d5601a9bd54,2020-04-03T20:00:00Z,7021,33755.0,1461609,1399629,1399629,1186.0,3303.0,96819.0,32898.0,129717.0
7,20200402,56,240136,1029776.0,62101.0,21135.0,30452.0,4410.0,456.0,574.0,140.0,8586.0,00dbb43abc37b224460807781843add98ed7a6ee,2020-04-02T20:00:00Z,5835,30452.0,1332013,1269912,1269912,1089.0,4141.0,90586.0,28309.0,118895.0
8,20200401,56,211827,939190.0,59669.0,19408.0,26311.0,3937.0,407.0,561.0,140.0,7084.0,f4188dbef3a75caff3b3a33a67f39f9f7ff5d429,2020-04-01T20:00:00Z,4746,26311.0,1210686,1151017,1151017,943.0,3890.0,74989.0,25991.0,100980.0
9,20200331,56,185836,864201.0,59518.0,17353.0,22421.0,3487.0,236.0,507.0,,5666.0,1fbf61ccc610078074418eabfacf255a6e34f6df,2020-03-31T20:00:00Z,3803,22421.0,1109555,1050037,1050037,820.0,3656.0,79877.0,24642.0,104519.0
10,20200330,56,161194,784324.0,65369.0,15216.0,18765.0,3087.0,187.0,451.0,,4560.0,7e6ffdef932de9f2f798671bec659e470aba30f3,2020-03-30T20:00:00Z,2983,18765.0,1010887,945518,945518,516.0,2248.0,91735.0,21327.0,113062.0
11,20200329,56,139867,692589.0,65545.0,13501.0,16517.0,2456.0,156.0,439.0,,4061.0,212d7be5424ccf260038ec6e003914182912a9e9,2020-03-29T20:00:00Z,2467,16517.0,898001,832456,832456,466.0,2514.0,74884.0,20600.0,95484.0
12,20200328,56,119267,617705.0,65709.0,11872.0,14003.0,2174.0,140.0,390.0,,3148.0,048ba7efb29ca13681e607505631534b4d6699d8,2020-03-28T20:00:00Z,2001,14003.0,802681,736972,736972,427.0,2461.0,89545.0,18795.0,108340.0
13,20200327,56,100472,528160.0,60091.0,10511.0,11542.0,1792.0,124.0,324.0,,2422.0,74abc6c2b35aa6e3dcae0337ce1fb427b35ccc7e,2020-03-27T20:00:00Z,1574,11542.0,688723,628632,628632,366.0,2395.0,89634.0,18590.0,108224.0
14,20200326,56,81882,438526.0,60251.0,7387.0,9147.0,1299.0,91.0,258.0,,97.0,97fbcad37c2f57a69528220cbb2390b7a7db237e,2020-03-26T20:00:00Z,1208,9147.0,580659,520408,520408,277.0,3711.0,80803.0,17156.0,97959.0
15,20200325,56,64726,357723.0,51235.0,740.0,5436.0,,74.0,167.0,,147.0,52169d2e651f25d822986a6289b5d2a7bd46a0f5,2020-03-25T20:00:00Z,931,5436.0,473684,422449,422449,225.0,1345.0,64865.0,12165.0,77030.0
16,20200324,56,52561,292858.0,14433.0,369.0,4091.0,,,,,,a440d9d5bb0c076cd808d09f354487d2ad470209,2020-03-24T20:00:00Z,706,4091.0,359852,345419,345419,197.0,833.0,55326.0,9965.0,65291.0
17,20200323,56,42596,237532.0,14571.0,67.0,3258.0,,,,,,985647a2016a24ca54e0a502a30668ceee818ce1,2020-03-23T20:00:00Z,509,3258.0,294699,280128,280128,83.0,760.0,44069.0,10277.0,54346.0
18,20200322,56,32319,193463.0,2842.0,56.0,2498.0,,,,,,77d309d3aca4a6f76313b00b885281f6a917430b,2020-03-22T20:00:00Z,426,2498.0,228624,225782,225782,129.0,534.0,37554.0,8649.0,46203.0
19,20200321,56,23670,155909.0,3468.0,,1964.0,,,,,,92ac8e47b2dc923fdab3fdda2472613b23285d29,2020-03-21T20:00:00Z,297,1964.0,183047,179579,179579,50.0,1964.0,37616.0,6248.0,43864.0
20,20200320,56,17422,118293.0,3330.0,,,,,,,,f59affa5aa93023e267ff3359be19d0a53cad22c,2020-03-20T20:00:00Z,247,,139045,135715,135715,62.0,0.0,29026.0,5352.0,34378.0
21,20200319,56,12070,89267.0,3016.0,,,,,,,,e09109d1b7424b0f1e5367600863dd1370849dca,2020-03-19T20:00:00Z,185,,104353,101337,101337,43.0,0.0,23042.0,3972.0,27014.0
22,20200318,56,8098,66225.0,2526.0,,,,,,,,2058907feeeb27cd81932bfceca828b42c9321ca,2020-03-18T20:00:00Z,142,,76849,74323,74323,23.0,0.0,18526.0,2067.0,20593.0
23,20200317,56,6031,47699.0,1687.0,,,,,,,,6c9b1773bcfc52f8b4cffb83a10e22a1c8603ad2,2020-03-17T20:00:00Z,119,,55417,53730,53730,22.0,0.0,11595.0,1733.0,13328.0
24,20200316,56,4298,36104.0,1691.0,,,,,,,,bc0b27ce3f429eb47e147fd755110a2c0dbe8c4a,2020-03-16T20:00:00Z,97,,42093,40402,40402,21.0,0.0,13480.0,846.0,14326.0
25,20200315,51,3452,22624.0,2242.0,,,,,,,,abcee792a3f9097f844c627f58cf9f9afbda04b7,2020-03-15T20:00:00Z,76,,28318,26076,26076,13.0,0.0,5522.0,780.0,6302.0
26,20200314,51,2672,17102.0,1236.0,,,,,,,,dc82e812d3750bab133c60316ea1257c2a656e4d,2020-03-14T20:00:00Z,63,,21010,19774,19774,8.0,0.0,3489.0,508.0,3997.0
27,20200313,51,2164,13613.0,1130.0,,,,,,,,5b69572d0bad1b62fc2433ea230a95dbc61c7d67,2020-03-13T20:00:00Z,55,,16907,15777,15777,4.0,0.0,5572.0,645.0,6217.0
28,20200312,51,1519,8041.0,673.0,,,,,,,,37d3e70d420867c3fcf9d136da3479da46adf680,2020-03-12T20:00:00Z,51,,10233,9560,9560,8.0,0.0,1935.0,259.0,2194.0
29,20200311,51,1260,6106.0,563.0,,,,,,,,ca45b454c3a719adec75ad7cc322eb125cb9e401,2020-03-11T20:00:00Z,43,,7929,7366,7366,6.0,0.0,2294.0,255.0,2549.0
30,20200310,51,1005,3812.0,469.0,,,,,,,,c2d8538be9f6fde497c4e9c24e99801be3854ce1,2020-03-10T20:00:00Z,37,,5286,4817,4817,2.0,0.0,468.0,212.0,680.0
31,20200309,51,793,3344.0,313.0,,,,,,,,f482c54dcbedc0ef22df020b101fcf648170791a,2020-03-09T20:00:00Z,35,,4450,4137,4137,4.0,0.0,1009.0,231.0,1240.0
32,20200308,51,562,2335.0,347.0,,,,,,,,97fe14e2c4043bfb2b3d1e44f5e1ee54b2a7c91b,2020-03-08T20:00:00Z,31,,3244,2897,2897,4.0,0.0,496.0,141.0,637.0
33,20200307,51,421,1839.0,602.0,,,,,,,,579e832a2337579596a847a3a8e400687bc3845b,2020-03-07T21:00:00Z,27,,2862,2260,2260,1.0,0.0,251.0,125.0,376.0
34,20200306,37,296,1588.0,458.0,,,,,,,,0ae66f25d8aa3c8d6618ab9479f34b0f6583f4d5,2020-03-06T21:00:00Z,26,,2342,1884,1884,6.0,0.0,618.0,92.0,710.0
35,20200305,25,204,970.0,197.0,,,,,,,,8a15dc10e69abcecfd9352c4e4830e758f8887e2,2020-03-05T21:00:00Z,20,,1371,1174,1174,4.0,0.0,211.0,47.0,258.0
36,20200304,15,157,759.0,103.0,,,,,,,,38dc0bcedacec7715adb8d1346348bd18a80cd96,2020-03-04T21:00:00Z,16,,1019,916,916,2.0,0.0,753.0,97.0,850.0
37,20200303,2,60,6.0,,,,,,,,,c164d965c7a1510b16f6334b1e1ba5103d0481ea,2020-03-03T21:00:00Z,14,,66,66,66,3.0,0.0,6.0,25.0,31.0
38,20200302,2,35,,,,,,,,,,3aef0d42c1db7236e50f664a77c2c3cddc1487a9,2020-03-02T21:00:00Z,11,,35,35,35,3.0,0.0,0.0,4.0,4.0
39,20200301,2,31,,,,,,,,,,73d01787c42bb880e75eae6c34518fc4c1d5ce35,2020-03-01T21:00:00Z,8,,31,31,31,3.0,0.0,0.0,13.0,13.0
40,20200229,1,18,,,,,,,,,,243260e18d47e670dade08ee5a5195fcc8b5a9db,2020-02-29T21:00:00Z,5,,18,18,18,1.0,0.0,0.0,9.0,9.0
41,20200228,1,9,,,,,,,,,,7de1cbe8b7b0a50a3afdd4b9c4d69ff78318681e,2020-02-28T21:00:00Z,4,,9,9,9,,,,,
